Name,Rolle,Original_Rolle,ID,Titel,Art,Zielgruppe,Chronologische_Sortierung,Herkunftsland
Regie,"Beni Sanjaya, Hardiansyah Yoga, Muhammad Alhaq, Performance, Produktion & Management","Mit
Puppenspieler:innen:
Anton Fajri, Beni Sanjaya, Pambo Priyojati, Hardiansyah Yoga, Muhammad Alhaq, Agus Margiyanti
Tänzer:innen:",A_003,Stream of Memory,Figurentheater,Familien,7,Indonesien
Regie,Text & Dramaturgie,Idee,A_012,LA BOULE BLEUE,Figurentheater,Familien,31,Elfenbeinküste
Regie,Produktion & Management,Producer,A_030,JO DOOBA SO PAAR,Musiktheater,Erwachsene & Junge Erwachsene,18,Indien
Regie,Mit,Mit,A_050,氣團 / Luftmasse,Installative Performance,Erwachsene & Junge Erwachsene,9,China
Regie,Text & Dramaturgie,Autor:in,A_061,Split Tooth: Saputjiji,Musiktheater,Erwachsene & Junge Erwachsene,4,Kanada
Regie,Mit,Mit,A_068,Antuco,Figurentheater,Erwachsene & Junge Erwachsene,10,Chile
Regie,Text & Dramaturgie,Text,A_079,La Grande Ourse,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,29,Frankreich
Regie:,Mit:,Mit:,A_023,Paper Planet,Installation,Familien,3,Australien
Regieassistenz,"Choreografie, Regie","Regie, Choreografie",A_075,Shintai to Shintai / 身体 → 身体,Performance,Familien,30,"Japan, Deutschland"
Regieberatung,"Regie, Text & Dramaturgie","Text, Regie",A_064,The Shadows,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,24,Iran
Retno Sulistyorini,"Beni Sanjaya, Hardiansyah Yoga, Muhammad Alhaq, Performance, Produktion & Management","Mit
Puppenspieler:innen:
Anton Fajri, Beni Sanjaya, Pambo Priyojati, Hardiansyah Yoga, Muhammad Alhaq, Agus Margiyanti
Tänzer:innen:",A_003,Stream of Memory,Figurentheater,Familien,7,Indonesien
Rodolfo Armijo,Mit,Mit,A_068,Antuco,Figurentheater,Erwachsene & Junge Erwachsene,10,Chile
Rolf Abderhalden,"Regie, Text & Dramaturgie","Konzept, Regie, Dramaturgie",A_048,Vortex Nukak,Immersives Theater,Erwachsene & Junge Erwachsene,32,Kolumbien
SATO Naoko,"Von, mit",Von und mit,A_085,KUSTE,Interdisziplinäre Performance,Erwachsene & Junge Erwachsene,34,Japan
STG_DCS7D_Credits_Chemnitz.docx,Video & Medien,ACHTUNG: Weitere Credits vorhanden tbd ob alle gezeigt. Siehe hier:,A_098,"Dear Children, Sincerely… 7 Decades of Sri Lanka",Performance,Erwachsene & Junge Erwachsene,17,Sri Lanka
SUIKA KEIMAI (HIROSE Tact,"Von, mit",Von und mit,A_085,KUSTE,Interdisziplinäre Performance,Erwachsene & Junge Erwachsene,34,Japan
Schatten,"Von, mit",Von und mit,A_085,KUSTE,Interdisziplinäre Performance,Erwachsene & Junge Erwachsene,34,Japan
Sheyang Sibo,Mit,Mit,A_050,氣團 / Luftmasse,Installative Performance,Erwachsene & Junge Erwachsene,9,China
Soro Badrissa,Text & Dramaturgie,Idee,A_012,LA BOULE BLEUE,Figurentheater,Familien,31,Elfenbeinküste
Sound,"Regie, Text & Dramaturgie","Text, Regie",A_059,Speak So I May See You,Performance,Erwachsene,33,Saudi-Arabien
Sounddesign,"Musik & Sound, Text & Dramaturgie, Video & Medien","Konzept, Kreation
Mia Rushton, Eric Muschopedis
Video",A_032,In a Strange Place,Installation,Erwachsene & Junge Erwachsene,5,Kanada
Sounddesign,Regie,"Autor:in
Darsteller:innen
Regie
Choreografie
Dramaturgie",A_078,ITI-Academy Week,nan,/,36,Germany
Sounddesign,Regie,"Autor:in
Darsteller:innen
Regie
Choreografie
Dramaturgie",A_080,Von den Sockeln,Installation,Familien,2,Germany
Sounddesign,"Regie, Text & Dramaturgie","Autor:in
Mit / With:
Regie
Choreografie
Dramaturgie",A_087,Plan B/C/D/E,,,,Sprache(n)
Sounddesign,Regie,"Autor:in
Darsteller:innen
Regie
Choreografie
Dramaturgie",A_100,السّيرة الهلا ليّةAl - Sirah  Al - Hilaliyyah,Musiktheater,Erwachsene,11,Israel
Stage Management,"Regie, Text & Dramaturgie, Von","Von und mit
Tony Bonani Miyambo
Regie, Adaption, Story",A_104,Kafka's Ape,Physical Theatre,Erwachsene,8,South Africa
Stefanie Robinson,Mit:,Mit:,A_023,Paper Planet,Installation,Familien,3,Australien
Stellvertretende-,"Von, mit",Von und mit,A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
Swiss Agency for Development and Cooperation,Produktion & Management,Koproduktion,A_076,MEMORY DISTORTION. M I X T A P E,Musiktheater,Erwachsene & Junge Erwachsene,16,Moldau
Szenografie,Regie,"Autor:in
Darsteller:innen
Regie
Choreografie
Dramaturgie",A_078,ITI-Academy Week,nan,/,36,Germany
Szenografie,Regie,"Autor:in
Darsteller:innen
Regie
Choreografie
Dramaturgie",A_080,Von den Sockeln,Installation,Familien,2,Germany
Szenografie,"Regie, Text & Dramaturgie","Autor:in
Mit / With:
Regie
Choreografie
Dramaturgie",A_087,Plan B/C/D/E,,,,Sprache(n)
Szenografie,Regie,"Autor:in
Darsteller:innen
Regie
Choreografie
Dramaturgie",A_100,السّيرة الهلا ليّةAl - Sirah  Al - Hilaliyyah,Musiktheater,Erwachsene,11,Israel
Tanya Tagaq,Text & Dramaturgie,Autor:in,A_061,Split Tooth: Saputjiji,Musiktheater,Erwachsene & Junge Erwachsene,4,Kanada
Text,"Beni Sanjaya, Hardiansyah Yoga, Muhammad Alhaq, Performance, Produktion & Management","Mit
Puppenspieler:innen:
Anton Fajri, Beni Sanjaya, Pambo Priyojati, Hardiansyah Yoga, Muhammad Alhaq, Agus Margiyanti
Tänzer:innen:",A_003,Stream of Memory,Figurentheater,Familien,7,Indonesien
Text,"Musik & Sound, Text & Dramaturgie","Komposition, Konzept",A_006,Nkoli: The Vogue-Opera,Zeitgenössische Oper,Erwachsene & Junge Erwachsene,13,Südafrika
Text,Text & Dramaturgie,Idee,A_012,LA BOULE BLEUE,Figurentheater,Familien,31,Elfenbeinküste
Text & Regie,Video & Medien,ACHTUNG: Weitere Credits vorhanden tbd ob alle gezeigt. Siehe hier:,A_098,"Dear Children, Sincerely… 7 Decades of Sri Lanka",Performance,Erwachsene & Junge Erwachsene,17,Sri Lanka
Tim Wells,Mit:,Mit:,A_023,Paper Planet,Installation,Familien,3,Australien
Tirese Ballard,Performance,Darsteller:innen,A_025,When the World Turns,,,,Australien
Unterstützt durch,Produktion & Management,Koproduktion,A_076,MEMORY DISTORTION. M I X T A P E,Musiktheater,Erwachsene & Junge Erwachsene,16,Moldau
Video,"Von, mit",Von und mit,A_017,Mutikkappatâta,Interdisziplinäre Performance,Erwachsene & Junge Erwachsene,28,Senegal
Video,Regie,"Autor:in
Darsteller:innen
Regie
Choreografie
Dramaturgie",A_078,ITI-Academy Week,nan,/,36,Germany
Video,Regie,"Autor:in
Darsteller:innen
Regie
Choreografie
Dramaturgie",A_080,Von den Sockeln,Installation,Familien,2,Germany
Video,"Regie, Text & Dramaturgie","Autor:in
Mit / With:
Regie
Choreografie
Dramaturgie",A_087,Plan B/C/D/E,,,,Sprache(n)
Video,Regie,"Autor:in
Darsteller:innen
Regie
Choreografie
Dramaturgie",A_100,السّيرة الهلا ليّةAl - Sirah  Al - Hilaliyyah,Musiktheater,Erwachsene,11,Israel
WATANABE Naoka),"Von, mit",Von und mit,A_085,KUSTE,Interdisziplinäre Performance,Erwachsene & Junge Erwachsene,34,Japan
WHITELIGHT,"Von, mit",Von und mit,A_085,KUSTE,Interdisziplinäre Performance,Erwachsene & Junge Erwachsene,34,Japan
Waira Nina,"Von, mit",Von und mit,A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
Wang Yanan,Mit,Mit,A_050,氣團 / Luftmasse,Installative Performance,Erwachsene & Junge Erwachsene,9,China
YAMADA Hiroki (ayamelab),"Von, mit",Von und mit,A_085,KUSTE,Interdisziplinäre Performance,Erwachsene & Junge Erwachsene,34,Japan
Yoko Ando,"Choreografie, Regie","Regie, Choreografie",A_075,Shintai to Shintai / 身体 → 身体,Performance,Familien,30,"Japan, Deutschland"
Yousef Ahmed Al-Harbi,"Regie, Text & Dramaturgie","Text, Regie",A_059,Speak So I May See You,Performance,Erwachsene,33,Saudi-Arabien
hoshifune (KOYANO Tetsuro,"Von, mit",Von und mit,A_085,KUSTE,Interdisziplinäre Performance,Erwachsene & Junge Erwachsene,34,Japan
Émilie Monnet,"Von, mit",Von und mit,A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
