Name,Rolle,Original_Rolle,ID,Titel,Art,Zielgruppe,Chronologische_Sortierung,Herkunftsland
Jaemin Lee,"Musik & Sound, Regie","Komposition, Co-Regie",A_090,Except That You Cannot See Me,Installative Performance,Erwachsene & Junge Erwachsene,27,Südkorea
Jaivi Chen,Bühne & Ausstattung,Szenografie,A_081,FAMILY TRIANGLE ,Interdisziplinäre Performance,Erwachsene & Junge Erwachsene,6,Taiwan
James Tan,Licht,Lichtdesign,A_003,Stream of Memory,Figurentheater,Familien,7,Indonesien
Jauyau Nijbe Jeenbu,Performance,Teilnehmende,A_048,Vortex Nukak,Immersives Theater,Erwachsene & Junge Erwachsene,32,Kolumbien
Javier Beltrán,"Musik & Sound, Technik","Sound, Technische Direktion",A_048,Vortex Nukak,Immersives Theater,Erwachsene & Junge Erwachsene,32,Kolumbien
Javier Hernández,Video & Medien,Video,A_048,Vortex Nukak,Immersives Theater,Erwachsene & Junge Erwachsene,32,Kolumbien
Javier Navarro animiert von Fredy Arias,Video & Medien,Linolschnitte,A_048,Vortex Nukak,Immersives Theater,Erwachsene & Junge Erwachsene,32,Kolumbien
Jawad Al-Sayigh,Darstellende,Darstellende,A_059,Speak So I May See You,Performance,Erwachsene,33,Saudi-Arabien
Jayampathi Guruge,Produktion & Management,Produktionsdesign,A_098,"Dear Children, Sincerely… 7 Decades of Sri Lanka",Performance,Erwachsene & Junge Erwachsene,17,Sri Lanka
Jean Cummings,"Bühne & Ausstattung, Puppen-",Puppen- & Requisitendesign,A_018,Parole d'eau / Water Words,Figurentheater,Kinder,21,"Kanada, Senegal"
Jean Pierre Nepost,Regie,Regie,A_017,Mutikkappatâta,Interdisziplinäre Performance,Erwachsene & Junge Erwachsene,28,Senegal
Jeima Diana Nijbe Joonide,Performance,Teilnehmende,A_048,Vortex Nukak,Immersives Theater,Erwachsene & Junge Erwachsene,32,Kolumbien
Jenna Winter,Produktion & Management,Co-Producers,A_032,In a Strange Place,Installation,Erwachsene & Junge Erwachsene,5,Kanada
Jennifer Tremblay,Text & Dramaturgie,Dramaturgie,A_018,Parole d'eau / Water Words,Figurentheater,Kinder,21,"Kanada, Senegal"
Jeong Seyoung,"Kreation, Regie, Text & Dramaturgie","Konzept, Kreation, Regie",A_090,Except That You Cannot See Me,Installative Performance,Erwachsene & Junge Erwachsene,27,Südkorea
Jeremy Leith,Regie,Marketing Director,A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
Jingwen Li,"Darstell:innen, Regie, Text & Dramaturgie","Darstell:innen, Regieassistenz, Übersetzung",A_050,氣團 / Luftmasse,Installative Performance,Erwachsene & Junge Erwachsene,9,China
Jitendra Singh Rajput,Darstellende,Darstellende,A_030,JO DOOBA SO PAAR,Musiktheater,Erwachsene & Junge Erwachsene,18,Indien
John de los Ríos,Video & Medien,Schnitt,A_048,Vortex Nukak,Immersives Theater,Erwachsene & Junge Erwachsene,32,Kolumbien
Jongyeol Lee,Darstellende,Darstellende,A_090,Except That You Cannot See Me,Installative Performance,Erwachsene & Junge Erwachsene,27,Südkorea
José Ignacio Rincón,Produktion & Management,Technische Produktion,A_048,Vortex Nukak,Immersives Theater,Erwachsene & Junge Erwachsene,32,Kolumbien
Juan Ernesto Díaz,Musik & Sound,"Sound Desing, Komposition",A_048,Vortex Nukak,Immersives Theater,Erwachsene & Junge Erwachsene,32,Kolumbien
Juan Pablo Gómez,"Regie, Text & Dramaturgie","Musikregie, Regie, Text",A_108,Los bienes visibles,Performance,Erwachsene,12,Argentinien
Julie Christina Picher,Bühne & Ausstattung,Szenografie,A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
Julie Cusson,Kostüm & Maske,Hair & Make-up,A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
Julie Tremblay,Produktion & Management,PHI Studio Executive Producers,A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
Jérome Bérubé,Licht,Lichtdesign,A_018,Parole d'eau / Water Words,Figurentheater,Kinder,21,"Kanada, Senegal"
Jérémie Ranc,Video & Medien,3D Modeling Assistance,A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
KAI Semmei (WHITELIGHT),"Musik & Sound, Technik",Sound System Designer / Operator,A_085,KUSTE,Interdisziplinäre Performance,Erwachsene & Junge Erwachsene,34,Japan
KANO Utowa,Created and Performed by,Created and Performed by,A_085,KUSTE,Interdisziplinäre Performance,Erwachsene & Junge Erwachsene,34,Japan
Kai-Wen Chuang,Darstellende,Darstellende,A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
Kairo,Produktion & Management,Produktion,A_089,Before the Revolution,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,20,Ägypten
Kamagate Adama,Darstellende,Darstellende,A_012,LA BOULE BLEUE,Figurentheater,Familien,31,Elfenbeinküste
Kanagawa Arts Foundation,Produktion & Management,Koproduktion,A_075,Tanzende Nachbarn,Performance,Familien,30,"Japan, Deutschland"
Karina Marquez Caballero,Assistenz,Technological Assistance,A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
Keira Lyons,"Performance, Text & Dramaturgie",Autor:in / Darsteller:innen,A_023,Paper Planet,Installation,Familien,3,Australien
Keli Freitas,"Performance, Regie, Text & Dramaturgie","Darstellerinnen, Regie, Dramaturgie",A_055,Go Back to Where You Came From,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,14,Portugal
Kevan Rahimaly,Produktion & Management,Production Coordinator,A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
Kim Picard,Musik & Sound,"„Nibi Song“, Gesang",A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
Kimberly Guillaume-Kacou,Produktion & Management,Kaufmännische Leitung,A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
Kira Semionov,Darstellende,Darstellende,A_076,MEMORY DISTORTION. M I X T A P E,Musiktheater,Erwachsene & Junge Erwachsene,16,Moldau
Koffi Mens,Förderung & Partner,Kreative Unterstützung,A_018,Parole d'eau / Water Words,Figurentheater,Kinder,21,"Kanada, Senegal"
Koro Souleymane,"Darstellende, Darstellende), Kostüm & Maske, Puppenbau & Design","Darstellende, Figurenbau, Kostümdesign (Figuren, Darstellende)",A_012,LA BOULE BLEUE,Figurentheater,Familien,31,Elfenbeinküste
Kris Demeanor,Musik & Sound,Sounddesign,A_032,In a Strange Place,Installation,Erwachsene & Junge Erwachsene,5,Kanada
Kulturhauptstadt Europas Chemnitz 2025 gGmbH,Produktion & Management,Produktion,A_075,Tanzende Nachbarn,Performance,Familien,30,"Japan, Deutschland"
LAB 7,Video & Medien,Motion Capture,A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
La Filature,Förderung & Partner,Unterstützt durch,A_089,Before the Revolution,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,20,Ägypten
Lasso Sanou,Musik & Sound,Livemusik,A_018,Parole d'eau / Water Words,Figurentheater,Kinder,21,"Kanada, Senegal"
Le Méta CDN de Poitiers,Produktion & Management,Koproduktion,A_079,La Grande Ourse,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,29,Frankreich
Leonel Vasquez,Musik & Sound,Sounddesign und Instrumentenentwicklung,A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
Les Francophonies – des écritures à la scène,Produktion & Management,Koproduktion,A_079,La Grande Ourse,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,29,Frankreich
Libia Guamanga,Musik & Sound,"„Nibi Song“, Gesang",A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
Louhon Franck Cedrick,Darstellende,Darstellende,A_012,LA BOULE BLEUE,Figurentheater,Familien,31,Elfenbeinküste
Ltd.),Licht,Lighting Manager,A_085,KUSTE,Interdisziplinäre Performance,Erwachsene & Junge Erwachsene,34,Japan
Luciano Mutumbajoy,Produktion & Management,Protokollberatung (Süden),A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
Luis Marquès assistiert von Soro Badrissa,"Regie, Text & Dramaturgie",Text & Regie,A_012,LA BOULE BLEUE,Figurentheater,Familien,31,Elfenbeinküste
MIZUNO Megumi (precog),Produktion & Management,Tour Manager,A_085,KUSTE,Interdisziplinäre Performance,Erwachsene & Junge Erwachsene,34,Japan
Madeleine Flynn,Musik & Sound,Sounddesign,A_023,Paper Planet,Installation,Familien,3,Australien
Madison Dinelle,Technological Direction,Technological Direction,A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
Mahdi Al-Marhoon,Darstellende,Darstellende,A_059,Speak So I May See You,Performance,Erwachsene,33,Saudi-Arabien
Mai Yokoyama,"Darstellende, Produktion & Management","Darstellende, Produktionsmanagement",A_075,Tanzende Nachbarn,Performance,Familien,30,"Japan, Deutschland"
Mamby Mawine,"Performance, Regie, Text & Dramaturgie","Autorinnen, Darstellerinnen, Regie",A_018,Parole d'eau / Water Words,Figurentheater,Kinder,21,"Kanada, Senegal"
Manasi Bhawalkar,Darstellende,Darstellende,A_030,JO DOOBA SO PAAR,Musiktheater,Erwachsene & Junge Erwachsene,18,Indien
Manav Kaul,Produktion & Management,Producer,A_030,JO DOOBA SO PAAR,Musiktheater,Erwachsene & Junge Erwachsene,18,Indien
Manna Photo Studio,Video & Medien,Fotografie,A_090,Except That You Cannot See Me,Installative Performance,Erwachsene & Junge Erwachsene,27,Südkorea
Manon Minetti,Regie,Regieassistenz,A_108,Los bienes visibles,Performance,Erwachsene,12,Argentinien
Manouchehr Shoja,"Bühne & Ausstattung, Kostüm & Maske, Regie","Regieberatung, Szenografie, Kostümbild",A_064,The Shadows,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,24,Iran
Manu Curtiss,"Bühne & Ausstattung, Kostüm & Maske","Szenografie, Kostümbild",A_055,Go Back to Where You Came From,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,14,Portugal
Marc-André Nadeau,Technological Direction,Technological Direction,A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
Marcel Mankita,Performance,Darsteller:innen,A_079,La Grande Ourse,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,29,Frankreich
Marcin Burnar,Musik & Sound,Tontechnik,A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
Marco Reyes,Darstellende,Darstellende,A_068,Antuco,Figurentheater,Erwachsene & Junge Erwachsene,10,Chile
Marguerite Lantz,Kostüm & Maske,Kostümbild,A_079,La Grande Ourse,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,29,Frankreich
Maria Belén Jacanamijoy Mutumbajoy,"Bühne & Ausstattung, Produktion & Management","Darstellenden Management, Requisite",A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
Maria „Ria“ Tri Sulistyani,"Regie, Text & Dramaturgie","Regie, Text",A_003,Stream of Memory,Figurentheater,Familien,7,Indonesien
Mariana La Torre,"Choreografie, Künstlerische Beratung","Choreographie, Künstlerische Beratung",A_108,Los bienes visibles,Performance,Erwachsene,12,Argentinien
Mariana Ricardo,Produktion & Management,Produktionsunterstützung,A_055,Go Back to Where You Came From,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,14,Portugal
Masaharu Honada,"Choreografie, Darstellende","Choreografie Instruktionen, Darstellende",A_075,Tanzende Nachbarn,Performance,Familien,30,"Japan, Deutschland"
Mashika Methmini,Darstellende,Darstellende,A_098,"Dear Children, Sincerely… 7 Decades of Sri Lanka",Performance,Erwachsene & Junge Erwachsene,17,Sri Lanka
Matjamela Motloung,"Bühne & Ausstattung, Produktion & Management","Stage Management, Producer",A_104,Kafka's Ape,Physical Theatre,Erwachsene,8,South Africa
Maureen Cléret,Bühne & Ausstattung,Stage Management,A_079,La Grande Ourse,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,29,Frankreich
Maxine Denis,Darstellende,Darstellende,A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
Mayumi Ide-Bergeron,Bühne & Ausstattung,Requisitenassistenz,A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
Mayunkiki),Created and Performed by,Created and Performed by,A_085,KUSTE,Interdisziplinäre Performance,Erwachsene & Junge Erwachsene,34,Japan
Mayunkiki+,Produktion & Management,Production,A_085,KUSTE,Interdisziplinäre Performance,Erwachsene & Junge Erwachsene,34,Japan
Mazen Bonga,Produktion & Management,Produktionsteam,A_089,Before the Revolution,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,20,Ägypten
Maíra Wiener,"Assistenz, Produktion & Management","Co-Producers, Künstlerische Assistenz",A_032,In a Strange Place,Installation,Erwachsene & Junge Erwachsene,5,Kanada
Maïka Louakairim,Performance,Darsteller:innen,A_079,La Grande Ourse,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,29,Frankreich
Medo Abdel Maqsoud,Produktion & Management,Produktionsteam,A_089,Before the Revolution,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,20,Ägypten
Mei-Chun Hsiang,Darstellende,Darstellende,A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
Meike Rötzer,Darstell:innen,Darstell:innen,A_050,氣團 / Luftmasse,Installative Performance,Erwachsene & Junge Erwachsene,9,China
Michal Sandor,Produktion & Management,Produktionsleitung,A_075,Tanzende Nachbarn,Performance,Familien,30,"Japan, Deutschland"
Ministerio de las Culturas,Produktion & Management,Produktion,A_048,Vortex Nukak,Immersives Theater,Erwachsene & Junge Erwachsene,32,Kolumbien
Mischa Long,"Bühne & Ausstattung, Performance, Text & Dramaturgie","Autor:in / Darsteller:innen, Szenografie",A_023,Paper Planet,Installation,Familien,3,Australien
Mohamed Bonga,Produktion & Management,Produktionsteam,A_089,Before the Revolution,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,20,Ägypten
Mohammed Al-Marzouq,Darstellende,Darstellende,A_059,Speak So I May See You,Performance,Erwachsene,33,Saudi-Arabien
Mohammed Al-Mutawa,Darstellende,Darstellende,A_059,Speak So I May See You,Performance,Erwachsene,33,Saudi-Arabien
Mohit Agarwal,"Darstellende, Musik & Sound, Regie","Darstellende, Musik, Regie",A_030,JO DOOBA SO PAAR,Musiktheater,Erwachsene & Junge Erwachsene,18,Indien
Mostafa Abdel Aty,Video & Medien,Fotografie,A_089,Before the Revolution,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,20,Ägypten
Mram AbdelMaqsoud,"Bühne & Ausstattung, Produktion & Management","Produktionsleitung, Stage Management",A_089,Before the Revolution,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,20,Ägypten
Mrunmay Chavan,Musik & Sound,Dholak (Instrument),A_030,JO DOOBA SO PAAR,Musiktheater,Erwachsene & Junge Erwachsene,18,Indien
Muhammad Alhaq,"Performance, Puppenherstellung, Puppenkonstruktion","Darsteller:innen / Puppenspieler:innen, Puppenherstellung, Puppenkonstruktion",A_003,Stream of Memory,Figurentheater,Familien,7,Indonesien
Murthaaz Abdul Barry,Darstellende,Darstellende,A_098,"Dear Children, Sincerely… 7 Decades of Sri Lanka",Performance,Erwachsene & Junge Erwachsene,17,Sri Lanka
Myriam Achard,"Chief, Video & Medien","Chief, New Media Partnerships and PR",A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
Mélanie Courtinat,Video & Medien,Visual Experience Supervisor,A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
Mélanie O’Bomsawin,Video & Medien,Videodesign,A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
N'Wole Edgar,Darstellende,Darstellende,A_012,LA BOULE BLEUE,Figurentheater,Familien,31,Elfenbeinküste
NAGASAKA Arisa (RYU Co.,Licht,Lighting Manager,A_085,KUSTE,Interdisziplinäre Performance,Erwachsene & Junge Erwachsene,34,Japan
NAKAMURA Akane (precog),Produktion & Management,Producer,A_085,KUSTE,Interdisziplinäre Performance,Erwachsene & Junge Erwachsene,34,Japan
Nada Fathy,Video & Medien,Social Media,A_089,Before the Revolution,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,20,Ägypten
Nadeen Lotayef,"Bühne & Ausstattung, Produktion & Management","Tourmanagement, Untertitelbedienung",A_089,Before the Revolution,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,20,Ägypten
Nahka Bertrand,Musik & Sound,"„Nibi Song“, Gesang",A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
Nami Kaigaishi,"Choreografie, Darstellende","Choreografie Assistenz, Darstellende",A_075,Tanzende Nachbarn,Performance,Familien,30,"Japan, Deutschland"
Nanda Mohammad,Darstellende,Darstellende,A_089,Before the Revolution,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,20,Ägypten
Nastaran Davari,Darstellende,Darstellende,A_064,The Shadows,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,24,Iran
Nathalie Vairac,"Performance, Text & Dramaturgie","Darstellerin, Texte",A_017,Mutikkappatâta,Interdisziplinäre Performance,Erwachsene & Junge Erwachsene,28,Senegal
National Theater & Concert Hall,Produktion & Management,Official Presentation Partner,A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
National Theater Company of Korea (NTCK),Produktion & Management,"Produktion, Präsentation",A_090,Except That You Cannot See Me,Installative Performance,Erwachsene & Junge Erwachsene,27,Südkorea
Natividad Mutumbajoy,Musik & Sound,"„Nibi Song“, Gesang",A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
Nawaf Al-Harbi,Licht,Licht,A_059,Speak So I May See You,Performance,Erwachsene,33,Saudi-Arabien
Nicoleta Esinencu,Darstellende,Darstellende,A_076,MEMORY DISTORTION. M I X T A P E,Musiktheater,Erwachsene & Junge Erwachsene,16,Moldau
Nigamon/Tunai benefited from an Indigenous Dramaturgies Circle residency at the Banff Centre for Arts and Creativity,Förderung & Partner,Unterstützt durch,A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
Nigamon/Tunai is a production of Productions ONISHKA in co-production with Festival TransAmériques and in collaboration with Espace GO.,Förderung & Partner,Unterstützt durch,A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
Nigamon/Tunai is supported by the National Arts Centre’s National Creation Fund and the Cole Foundation (Intercultural Dialogues).,Förderung & Partner,Unterstützt durch,A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
Nigamon/Tunai was created with an eco-conception approach,Förderung & Partner,Unterstützt durch,A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
Ning Chang,Darstellende,Darstellende,A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
Nipuni Sharada,Darstellende,Darstellende,A_098,"Dear Children, Sincerely… 7 Decades of Sri Lanka",Performance,Erwachsene & Junge Erwachsene,17,Sri Lanka
Niransha Akalanka,Licht,Lichtdesign,A_098,"Dear Children, Sincerely… 7 Decades of Sri Lanka",Performance,Erwachsene & Junge Erwachsene,17,Sri Lanka
Nora Dorogan,Darstellende,Darstellende,A_076,MEMORY DISTORTION. M I X T A P E,Musiktheater,Erwachsene & Junge Erwachsene,16,Moldau
Nukak community:,Performance,Teilnehmende,A_048,Vortex Nukak,Immersives Theater,Erwachsene & Junge Erwachsene,32,Kolumbien
O Espaço do Tempo,Produktion & Management,"Koproduktion, Koproduktion Residenz",A_055,Go Back to Where You Came From,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,14,Portugal
O.S.I.W.A,Förderung & Partner,Unterstützt durch,A_017,Mutikkappatâta,Interdisziplinäre Performance,Erwachsene & Junge Erwachsene,28,Senegal
OUKI Tamiko (precog),Produktion & Management,Tour Coordinator,A_085,KUSTE,Interdisziplinäre Performance,Erwachsene & Junge Erwachsene,34,Japan
Onassis Culture,"Produktion & Management, Technik","Koproduktion, Prototyping Support, With the support of",A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
Orient productions,Produktion & Management,Produktion,A_089,Before the Revolution,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,20,Ägypten
Oshada Kumarikkanda,Darstellende,Darstellende,A_098,"Dear Children, Sincerely… 7 Decades of Sri Lanka",Performance,Erwachsene & Junge Erwachsene,17,Sri Lanka
P,Organized by,Organized by,A_085,KUSTE,Interdisziplinäre Performance,Erwachsene & Junge Erwachsene,34,Japan
PHI Studio,"Creative and interactive development, Produktion & Management","Creative and interactive development, Koproduktion",A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
Pam Beebe,Produktion & Management,Koordination Indigene Beziehungen,A_032,In a Strange Place,Installation,Erwachsene & Junge Erwachsene,5,Kanada
Pambo Priyojati,"Performance, Puppenherstellung","Darsteller:innen / Puppenspieler:innen, Puppenherstellung",A_003,Stream of Memory,Figurentheater,Familien,7,Indonesien
Pathum Dharmarathna,Darstellende,Darstellende,A_098,"Dear Children, Sincerely… 7 Decades of Sri Lanka",Performance,Erwachsene & Junge Erwachsene,17,Sri Lanka
Patricio Aramburu,Darstellende,Darstellende,A_108,Los bienes visibles,Performance,Erwachsene,12,Argentinien
Penda Diouf,Text & Dramaturgie,Text,A_079,La Grande Ourse,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,29,Frankreich
Phala Ookeditse Phala,"Regie, Text & Dramaturgie","Regie, Adaption, Story",A_104,Kafka's Ape,Physical Theatre,Erwachsene,8,South Africa
Philip Miller,Komponist,Komponist,A_006,Nkoli: The Vogue-Opera,Zeitgenössische Oper,Erwachsene & Junge Erwachsene,13,Südafrika
Phoebe Greenberg,"Darstellende, Regie, Text & Dramaturgie","Darstellende, Regie, Text",A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
Pierre Langlois,Licht,Lichtdesign,A_079,La Grande Ourse,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,29,Frankreich
Pierre-Henri Magnin,Danksagungen,Danksagungen,A_048,Vortex Nukak,Immersives Theater,Erwachsene & Junge Erwachsene,32,Kolumbien
Pigu Gómez,Video & Medien,Fotografie,A_108,Los bienes visibles,Performance,Erwachsene,12,Argentinien
Piotr Kurek,Musik & Sound,Musik,A_050,氣團 / Luftmasse,Installative Performance,Erwachsene & Junge Erwachsene,9,China
Prescillia Amany Kouamé,Performance,Darsteller:innen,A_079,La Grande Ourse,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,29,Frankreich
Prodromos Tsiavos,Produktion & Management,Onassis Culture Executive Producers,A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
Proteatro,Förderung & Partner,Unterstützt durch,A_108,Los bienes visibles,Performance,Erwachsene,12,Argentinien
RAW Material Company,Förderung & Partner,Unterstützt durch,A_017,Mutikkappatâta,Interdisziplinäre Performance,Erwachsene & Junge Erwachsene,28,Senegal
Rachel Lim,Produktion & Management,Producer,A_003,Stream of Memory,Figurentheater,Familien,7,Indonesien
Rachel Rose,Assistenz,Künstlerische Assistenz,A_032,In a Strange Place,Installation,Erwachsene & Junge Erwachsene,5,Kanada
Ramsi Lehner,Darstellende,Darstellende,A_089,Before the Revolution,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,20,Ägypten
Rangga Yudhistira,Video & Medien,Video & Foto,A_003,Stream of Memory,Figurentheater,Familien,7,Indonesien
Ranil Goonawardene mit Palitha Abeyrathne,Musik & Sound,Original-Partitur,A_098,"Dear Children, Sincerely… 7 Decades of Sri Lanka",Performance,Erwachsene & Junge Erwachsene,17,Sri Lanka
Rattan Deep Singh,Darstellende,Darstellende,A_030,JO DOOBA SO PAAR,Musiktheater,Erwachsene & Junge Erwachsene,18,Indien
Ray Tseng,"Co-Creators, Darstellende, Licht, Technik","Co-Creators, Darstellende, Internationale Technische Direktion, Lichtdesign",A_081,FAMILY TRIANGLE ,Interdisziplinäre Performance,Erwachsene & Junge Erwachsene,6,Taiwan
Retno Intiani,Kostüm & Maske,Kostümbild,A_003,Stream of Memory,Figurentheater,Familien,7,Indonesien
Retno Sulistyorini,Performance,Tänzer:innen,A_003,Stream of Memory,Figurentheater,Familien,7,Indonesien
Ricardo Dueñas,Robotic Design,Robotic Design,A_048,Vortex Nukak,Immersives Theater,Erwachsene & Junge Erwachsene,32,Kolumbien
Ricardo Pacheco,Musik & Sound,Sounddesign,A_068,Antuco,Figurentheater,Erwachsene & Junge Erwachsene,10,Chile
Ricardo Rodríguez,Video & Medien,Schnitt,A_048,Vortex Nukak,Immersives Theater,Erwachsene & Junge Erwachsene,32,Kolumbien
Rigved,Darstellende,Darstellende,A_030,JO DOOBA SO PAAR,Musiktheater,Erwachsene & Junge Erwachsene,18,Indien
Rikki Beadle-Blair MBE,Regie,Regie,A_006,Nkoli: The Vogue-Opera,Zeitgenössische Oper,Erwachsene & Junge Erwachsene,13,Südafrika
River Lin,Künstlerischer Mitarbeiter,Künstlerischer Mitarbeiter,A_081,FAMILY TRIANGLE ,Interdisziplinäre Performance,Erwachsene & Junge Erwachsene,6,Taiwan
Riverbed Theatre,Immersive Theater Design,Immersive Theater Design,A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
Riverbed Theatre Ltd.,Produktion & Management,Koproduktion,A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
Roberta Pesci,Kostüm & Maske,Kostümbild,A_108,Los bienes visibles,Performance,Erwachsene,12,Argentinien
Roberto Gómez,Danksagungen,Danksagungen,A_048,Vortex Nukak,Immersives Theater,Erwachsene & Junge Erwachsene,32,Kolumbien
Rodolfo Armijo,Darstellende,Darstellende,A_068,Antuco,Figurentheater,Erwachsene & Junge Erwachsene,10,Chile
Rolf Abderhalden,"Bühne & Ausstattung, Regie, Text & Dramaturgie, Video & Medien","Konzept, Regie, Dramaturgie, Szenografie, Video",A_048,Vortex Nukak,Immersives Theater,Erwachsene & Junge Erwachsene,32,Kolumbien
Romane Bocquet,Produktion & Management,Technische Leitung,A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
Ruwanthie de Chickera,"Regie, Text & Dramaturgie",Text & Regie,A_098,"Dear Children, Sincerely… 7 Decades of Sri Lanka",Performance,Erwachsene & Junge Erwachsene,17,Sri Lanka
SATO Naoko,Created and Performed by,Created and Performed by,A_085,KUSTE,Interdisziplinäre Performance,Erwachsene & Junge Erwachsene,34,Japan
